ID,price
845,2229355.830784862
1924,972152.0513899869
10718,1217002.293151394
12076,8481369.135724822
12254,1840408.2441703458
9950,3241212.8235621187
1548,2517091.192077458
526,1164789.6668859196
6776,1005724.5803318779
1851,1266285.305530411
9188,1864606.9947740515
3382,3182915.167806178
242,2399172.9003032283
6439,1854500.2958376766
1561,2445637.9925164357
5339,2568303.3795326157
7387,2481142.282250161
11576,1853589.6451180752
5984,4634550.8454796495
4486,1797813.3320084915
2205,943651.1522514306
3468,1336556.7054518217
4226,2324578.8847250384
2088,2227952.151718502
2118,2753253.6620050664
8036,1472355.0622956022
23,1247468.046174617
1898,1992620.1255269493
6976,2399124.815633646
1465,3466058.7414492667
2040,1412340.3989570139
482,1096494.3419721257
5122,1932771.8737041464
3447,1156257.9754299033
12877,2661856.8757754224
3780,1326398.1422426288
1285,1592232.591716288
9200,1974054.2981738776
921,3009410.4413518603
3060,2785914.5412567025
1082,983304.0975679712
71,2568890.049208156
4464,1652062.3571425017
4576,3518170.9130977043
897,2918379.222516296
1756,927168.5568093973
8745,2361723.1007664925
806,1453520.3839705628
803,1459894.504440783
7613,1496410.8369505524
243,1317803.0212341375
8135,1231188.3924514072
1527,2045606.5374237895
2825,1278124.8133490442
666,1099944.1139424997
12028,1465335.9624528945
2308,1958376.8818496694
11223,1488796.840241563
1479,900757.1270546715
2057,2165958.411171128
2368,1043930.418216137
7638,2603765.8277461217
432,2257487.2706074
9800,1329629.2113607135
2140,3146694.7737375377
837,1993055.3044625048
3227,1893384.2509561335
12412,2118067.9809255064
10267,1337369.6262221043
3850,3520817.0786006725
382,4116586.0138092902
1280,2319659.8308690777
2226,4208075.9889847245
4166,3186727.9613100803
5208,2974529.9240888734
4513,1611616.7367615902
10814,3102700.8756660046
3120,2776432.5628946987
7915,1939642.248383036
3513,2365212.5020492966
9041,1355520.9440552327
561,1255589.634965257
11041,2823148.2953996314
2920,2779335.8887534216
2042,1022642.366506729
10220,1769565.9540840979
11511,1757728.005023967
8424,3034239.3078903975
5801,2832553.956688723
10746,1250473.0204837061
11018,1166862.6114375095
816,741397.0654570765
10413,1565988.3831183661
4471,2880785.8209966235
1928,1854824.8447462188
323,1726762.5863311593
11548,2985415.7677139207
12564,2479323.553944212
5817,3380613.8085559243
1030,1301543.5761982896
3888,1812780.8770301796
2427,1915233.8293396074
5378,1833487.9255192373
3701,1648716.1295353114
4536,1549987.3756195132
3799,2397681.6002008626
9431,2290844.5329600456
10878,1174520.0758036932
2028,893596.2778884295
5598,2188921.745289332
5828,6588494.529951842
2842,2088706.169761199
279,2268425.5819004993
4812,2161633.392284241
11406,1912907.0810699675
1086,1372189.907618143
2696,1148204.4864960324
9220,1121984.284095051
1496,1287557.3245366663
3737,1233339.4060742909
12211,3429788.2552873413
1556,1782102.2627978693
1066,1265813.0508942022
1836,1139864.970730304
10913,1215960.3512253575
1868,1443782.0303217832
12610,3402131.13542924
12146,1690577.2712857511
